ID,Firmicutes/Bacteroidetes
AdFeMg1,1.906627524
AdFeMg2,5.114436113
AdFeMg3,11.32503134
AdFeMg4,2.370509377
AdFeMg5,2.03534556
AdFeMg6,6.300868229
AdFeMg7,3.519760393
AdFeMg8,4.981693882
AdFeMg9,1.723291459
AdFeMg10,1.841992908
AdFeMg11,3.231685928
AdFeMg12,4.11259447
AdFeMg13,2.660510288
AdFeMg14,3.74563683
AdFeMg15,4.175158669
MaFeMg1,10.84545392
MaFeMg2,6.423511002
MaFeMg3,8.619975315
MaFeMg4,6.700840675
MaFeMg5,3.846737896
MaFeMg6,51.3259335
MaFeMg7,12.26052847
MaFeMg8,10.15976468
MaFeMg9,6.517941206
MaFeMg10,12.3208434
MaFeMg11,10.02564459
MaFeMg12,4.477691723
MaFeMg13,8.857111724
MaFeMg14,9.416114263
MaFeMg15,8.756640369
OaFeMg1,2.676724342
OaFeMg2,33.79783486
OaFeMg3,8.325573583
OaFeMg4,7.833375231
OaFeMg5,4.400700837
OaFeMg6,4.057040591
OaFeMg7,3.202355862
OaFeMg8,7.539984253
OaFeMg9,4.822047251
OaFeMg10,6.847126962
OaFeMg11,5.517679977
OaFeMg12,5.659430804
OaFeMg13,5.517423407
OaFeMg14,13.08403899
OaFeMg15,9.544391245
